,name,rating,reviews,price,brand
0,Tinkle Eyebrow Shaper Facial Hairs Razor - 3 Pieces,4.2 out of 5,(11 ratings),KSh 181,Tinkle
1,Keli 7 In 1 Bag Powder Puff Makeup Sponge Blender,4.2 out of 5,(5 ratings),KSh 300,Keli
2,Generic False Eyelashes Set 5 Pairs Styles 3D Mixed,4.6 out of 5,(71 ratings),KSh 329,Generic
3,Fashion 12Pcs Makeup Brushes Set With Free Organizer Bag,4.3 out of 5,(324 ratings),KSh 687,Fashion
4,Fashion 10 Pcs Makeup Brushes Cosmetics Tools &Cosmetis Storage Box,4.5 out of 5,(101 ratings),KSh 879,Fashion
5,Generic Reusable Natural Magnetic False Eyelashes Kit 5 Pairs,4.5 out of 5,(41 ratings),KSh 699,Generic
6,Fashion Makeup Sponge Beauty Blender Foundation Sponge -3 Pcs A Set,4.7 out of 5,(172 ratings),KSh 359,Fashion
7,Generic 15Pcs Makeup Brushes Foundation Powder Brush Make Up Tool,4.2 out of 5,(30 ratings),KSh 550,Generic
8,Fashion Makeup Sponge Soft Blender Puff Foudation Sponge-(8Pcs),4.6 out of 5,(18 ratings),KSh 759,Fashion
9,Eye Ash Adhesive Glue,5 out of 5,(8 ratings),KSh 139,Eye
10,Fashion Portable Eyelash Curlers Long Lasting Suit All Eye Shapes,4.6 out of 5,(18 ratings),KSh 299,Fashion
11,Fashion 12Pcs Makeup Brushes With Portable Bag+A Nail Clipper Kit,4.5 out of 5,(2 ratings),KSh 737,Fashion
12,Generic Mixed 5 Pairs False Eyelashes Synthetic Fiber Material,4.3 out of 5,(28 ratings),KSh 329,Generic
13,Generic Fashion 10Pcs Professional Makeup Brushe Set +Storage Bag,0 out of 5,(No ratings available),KSh 840,Generic
14,Fashion 12Pcs Makeup Brushes Get 1 Free Poratable Organize Bag-Pink,4.6 out of 5,(17 ratings),KSh 759,Fashion
15,Fashion Makeup Brushes Foundation Brushes With Organizer Bag-24Pcs,4.4 out of 5,(14 ratings),KSh 999,Fashion
16,Fashion 3 Pcs Makeup Sponges Powder Puff +1 Free Hoder,4.7 out of 5,(36 ratings),KSh 349,Fashion
17,Generic Set Of 14 PCS Makeup Brush Kit For Foundation Liquid Cream,5 out of 5,(5 ratings),KSh 930,Generic
18,Kiss Beauty Green Tea Make Up Fix setting spray-220ml,4.6 out of 5,(29 ratings),KSh 395,Kiss Beauty
19,Generic 10pcs Makeup Brushes Set For Foundation Powder Blush,4.2 out of 5,(10 ratings),KSh 690,Generic
20,Generic Fashion 12Pcs Makeup Brushes Foundation Burshes -Organizer Bag,0 out of 5,(No ratings available),KSh 640,Generic
21,Fashion Professional Eye Brush Makeup Brush Eyeshadow Brush-1Pcs,4.1 out of 5,(10 ratings),KSh 99,Fashion
22,Generic Make Up Brushes 7 Pcs / Make Up Brush Set,3.7 out of 5,(48 ratings),KSh 350,Generic
23,Huddah Cosmetics Make Up Remover Wipes - 30 Wipes,4.3 out of 5,(32 ratings),KSh 190,Huddah Cosmetics
24,Generic C-osmetic Bag Women Leather Travel Make Up Bag(Only A Bag),5 out of 5,(1 rating),KSh 790,Generic
25,"Fashion Large Mineral Powder Brush,Powder Brush And Blush Brush",4.5 out of 5,(24 ratings),KSh 330,Fashion
26,Brush Double Sided Flat Angled Brush With Spoolie Makeup Brush,0 out of 5,(No ratings available),KSh 223,Brush
27,Fashion Beauty Blender Sponge -Purpel,5 out of 5,(3 ratings),KSh 180,Fashion
28,Fashion Generic 2 SIDED EYEBLOW BRUSH,4 out of 5,(3 ratings),KSh 162,Fashion
29,Kiss Beauty Aloe Vera Makeup Fix spray setting   220ml bottle,4.4 out of 5,(14 ratings),KSh 445,Kiss Beauty
30,Fashion Eye Brow Tweezers-Tweezers/Nose Hair Remover/Brow Shaper,4.7 out of 5,(26 ratings),KSh 135,Fashion
31,Hanan Cotton Buds 200pieces,4.7 out of 5,(22 ratings),KSh 108,Hanan
32,Generic Pro 20Pcs Superior Cosmetic Brushes Set Kit Makeup Tool Brushes purple & gold,4.1 out of 5,(31 ratings),KSh 645,Generic
33,Lux Premiums Facial Cotton Pads -Makeup Remover - 50 Counts,4.6 out of 5,(7 ratings),KSh 553,Lux Premiums
34,Generic 10 Pcs Luxury  Makeup Brushes Set - Exquisite Makeup,4.3 out of 5,(7 ratings),KSh 740,Generic
35,Generic 5 Pairs False Eyelashes Mixed Style & Eye Ash Adhesive Glue,0 out of 5,(No ratings available),KSh 429,Generic
36,Fashion 12Pcs Makeup Brushes Set With Free Organizer Bag,5 out of 5,(4 ratings),KSh 713,Fashion
37,Fashion Nail cleaning brush,4.7 out of 5,(7 ratings),KSh 160,Fashion
38,Generic Foundation Beauty Blender,4.3 out of 5,(3 ratings),KSh 145,Generic
39,Fashion 10 Pcs Makeup Brushes Set & Free Beauty Storage Box,4.3 out of 5,(51 ratings),KSh 879,Fashion
40,YSDO 3D MINK EYELASHES,4.7 out of 5,(3 ratings),KSh 600,YSDO
41,Generic Stainless Steel 4pcs Eyelash Curler And Tweezers Set,5 out of 5,(2 ratings),"KSh 1,100",Generic
42,Fashion 9pcs Storage Bag Cosmetic Bag Bathroom Organizer Travel Bags,4.8 out of 5,(4 ratings),KSh 778,Fashion
43,Fashion Makeup Sponge Beauty Blender Foundation Sponge-Pink-1pcs,4.5 out of 5,(23 ratings),KSh 169,Fashion
